file,clean_ber,snr,success,error
Squelette de Georges - grabuge.wav,0.3125,-1.329392955805913,False,
Ergo Phizmiz - Any Little Fish.wav,0.5625,-8.728444501645091,False,
anna xambó - H2RI.05.wav,0.375,-2.4662370528383355,False,
Steveless & Syd Howells - Kisses.wav,0.75,-7.890615215656306,False,
anna xambó - H2RI.04.wav,0.125,-9.30410690766219,False,
epsilon not - just focus.wav,1.0,-inf,False,
The Sediment Club - Hydraulic Saint.wav,0.375,-5.3734401977188515,False,
In De Nadfin - Nombre de canción punk generica ODIO.wav,0.4375,-4.782862381923228,False,
anna xambó - H2RI.01.wav,0.5,-7.852039497644482,False,
Analog - Brain - Roxy's Legs (Short One) feat. Courtney Odom.wav,0.4375,-6.228274271632587,False,
Squire Tuck - Midnight Chillin'.wav,0.375,-3.3630053266861615,False,
Decade in Exile - Ven Om by Decade in Exile.wav,0.625,-6.020216915703207,False,
Norrin Radd - Paradoxes are Unveiled.wav,0.5,-5.116343874943611,False,
anna xambó - H2RI.02.wav,0.4375,-6.922875741552081,False,
Chenillon - rufusrufus.wav,0.5,-2.12087681073907,False,
Livio Amato - Musa 3rd Melody.wav,0.625,-5.179486647252499,False,
"nina K ,oso el roto - finnish eyes (de et avec Nina K.).wav",0.75,-2.328967104669954,False,
Gabriel Pereira Spurr - 01 - ONE MINUTEN 1.wav,0.5,-10.497263937834783,False,
AlexandreDavidGabriel - dans mon tambour.wav,0.625,-3.704913706715711,False,
Nicky Cook - where a red lion walks.wav,0.75,-5.172775979564682,False,
"nina K ,oso el roto - pauvrevieillemadame.wav",0.4375,-7.955655593107627,False,
Rinus Van Alebeek - 3.wav,0.3125,-1.6958015619711864,False,
Filmy Ghost (Sábila Orbe) - Traffic in the Ghost Highway.wav,0.375,-6.444973648457022,False,
XYX - Circo TX.wav,0.6875,-5.947003072555889,False,
Squire Tuck - Solitude Amongst the Wild Meadow Flowers.wav,0.375,-4.797602087146432,False,
lorenzo gomez oviedo - fragment 7.wav,0.3125,-3.324336101674753,False,
Oblivian Substanshall - Intro.wav,0.5,-2.062761972297327,False,
Bacalao - Télémirabelle.wav,0.4375,-5.878077543825459,False,
Barnacled - Revenge of Barnacled (edit).wav,0.5,-6.391597266033308,False,
Bacalao - UK raver.wav,0.5,-3.6626298657771206,False,
Squire Tuck - The Quiet Time Before First Light.wav,0.375,-2.414895482749094,False,
AlexandreDavidGabriel - amadou.wav,0.5625,-0.9676659848116408,False,
"2 cholitas - Misa en Quechua en Pisac, Perú - 7 7.wav",0.5625,-7.885089868741248,False,
JACK NICKLAUS TRIBUTE BAND - Détaché.wav,0.4375,-4.967083464046388,False,
Young Grandmas - Situations In Which You Are There With Tim.wav,0.6875,-6.439615756146919,False,
Squire Tuck - Heaven Beyond the Trees.wav,0.5,-1.8586559159592877,False,
JACK NICKLAUS TRIBUTE BAND - Kitty.wav,0.4375,-3.724828470682438,False,
Kraus - More of What You Like.wav,0.625,-4.644616818046626,False,
mitsuru shimizu - bonus track sample.wav,0.375,-8.699387725440253,False,
Vitamin Pets - Bird Man.wav,0.25,-6.251781612326086,False,
Manueljgrotesque - grotesque21.wav,0.5625,-5.818403890276952,False,
The Rosen Sisters - Zemer Atik.wav,0.625,-8.343699744862255,False,
Cooper-Moore - (b) My Body Is My Body.wav,0.5,-2.9180823719511286,False,
Blue Dot Sessions - Rate Sheet.wav,0.5,-2.7782299365434593,False,
In De Nadfin - Tengo que decirte.wav,0.5,-3.884911493267258,False,
Squire Tuck - Love_ the Hurting Kind.wav,0.5625,-3.3992157327512293,False,
Steveless & Syd Howells - Man Eating Badgers Of Basra.wav,0.375,-8.598509084078112,False,
Chenillon - dogleika.wav,0.5625,-3.084133770726687,False,
Filmy Ghost (Sábila Orbe) - Dope Shadows.wav,0.4375,-8.81716998546793,False,
