file,output,alpha,block_size,threshold,ber,snr,embedded_bits,extracted_bits,ecc,reference_extract
LibriSpeech 2/dev-clean-2/2412/153948/2412-153948-0000.flac,watermarked_audio/2412-153948-0000_watermarked.wav,0.005,"(8, 8)",0.24245289,0.0,53.77150986064073,1000110101010101000101111111111101110011111110101011011011110100,1000110101010101000101111111111101110011111110101011011011110100,True,True
LibriSpeech 2/dev-clean-2/2412/153948/2412-153948-0000_watermarked.flac,watermarked_audio/2412-153948-0000_watermarked_watermarked.wav,0.005,"(8, 8)",0.24247289,0.0,61.29687093092951,0010011011100000001001001001111100000010110100011010100001001011,0010011011100000001001001001111100000010110100011010100001001011,True,True
LibriSpeech 2/dev-clean-2/2412/153948/2412-153948-0000_watermarked.wav,watermarked_audio/2412-153948-0000_watermarked_watermarked.wav,0.005,"(16, 16)",0.5812403,0.0,43.83576406453534,1000101111001100001011010000000101111001010101101001011010011111,1000101111001100001011010000000101111001010101101001011010011111,True,True
LibriSpeech 2/dev-clean-2/2412/153948/2412-153948-0000_watermarked_watermarked.flac,watermarked_audio/2412-153948-0000_watermarked_watermarked_watermarked.wav,0.005,"(16, 16)",0.5813352,0.0,68.49800787547322,1100100000101101111001011011000100111100111100001000111001101100,1100100000101101111001011011000100111100111100001000111001101100,True,True
LibriSpeech 2/dev-clean-2/2412/153948/2412-153948-0001.flac,watermarked_audio/2412-153948-0001_watermarked.wav,0.02,"(8, 8)",0.29323283,0.0,54.41924845775392,1110111111000100101101000100001001010101011010100101100010010111,1110111111000100101101000100001001010101011010100101100010010111,True,True
LibriSpeech 2/dev-clean-2/2412/153948/2412-153948-0001_watermarked.flac,watermarked_audio/2412-153948-0001_watermarked_watermarked.wav,0.02,"(8, 8)",0.29325134,0.0,63.66548529429049,0111010011011111010111010111011011111001010110011001100001011110,0111010011011111010111010111011011111001010110011001100001011110,True,True
LibriSpeech 2/dev-clean-2/2412/153948/2412-153948-0002.flac,watermarked_audio/2412-153948-0002_watermarked.wav,0.005,"(16, 16)",0.7107171,0.0,42.156420132352665,1100001110110011011111111111001000101001110000111100110000111001,1100001110110011011111111111001000101001110000111100110000111001,True,True
LibriSpeech 2/dev-clean-2/2412/153948/2412-153948-0002_watermarked.flac,watermarked_audio/2412-153948-0002_watermarked_watermarked.wav,0.005,"(8, 8)",0.13632363,0.0,65.56206054269744,0001101110010001110111101011010001011101000111011011011010000000,0001101110010001110111101011010001011101000111011011011010000000,True,True
LibriSpeech 2/dev-clean-2/2412/153948/2412-153948-0003.flac,watermarked_audio/2412-153948-0003_watermarked.wav,0.005,"(16, 16)",0.85902494,0.015625,45.87122064543159,0110111010010000111101111111111111010010100011010100010101010110,0110111010010000111101111011111111010010100011010100010101010110,True,True
LibriSpeech 2/dev-clean-2/2412/153948/2412-153948-0003_watermarked.flac,watermarked_audio/2412-153948-0003_watermarked_watermarked.wav,0.005,"(16, 16)",0.8489951,0.015625,65.80624792572617,0110101010110010000100100010101001111000101101110100000110011110,0110101010110010000100100010101001111000101101010100000110011110,True,True
LibriSpeech 2/dev-clean-2/2412/153948/2412-153948-0004.flac,watermarked_audio/2412-153948-0004_watermarked.wav,0.005,"(8, 8)",0.23387447,0.0,55.84306347247259,1001011001010101010110001010001000110010011111001010000100101011,1001011001010101010110001010001000110010011111001010000100101011,True,True
LibriSpeech 2/dev-clean-2/2412/153948/2412-153948-0004_watermarked.flac,watermarked_audio/2412-153948-0004_watermarked_watermarked.wav,0.01,"(16, 16)",0.5385258,0.0,66.68853257947839,0010000001110101011000010010110010110001100110101101000100101001,0010000001110101011000010010110010110001100110101101000100101001,True,True
LibriSpeech 2/dev-clean-2/2412/153948/2412-153948-0005.flac,watermarked_audio/2412-153948-0005_watermarked.wav,0.005,"(8, 8)",0.1716973,0.0,45.02579490405117,1100100001111001111011010001101001111100011101100001010000111111,1100100001111001111011010001101001111100011101100001010000111111,True,True
LibriSpeech 2/dev-clean-2/2412/153948/2412-153948-0005_watermarked.flac,watermarked_audio/2412-153948-0005_watermarked_watermarked.wav,0.005,"(16, 16)",0.8510713,0.0,58.38474402788576,1100000110000101101000100000101111111001100010111110010110111000,1100000110000101101000100000101111111001100010111110010110111000,True,True
LibriSpeech 2/dev-clean-2/2412/153948/2412-153948-0006.flac,watermarked_audio/2412-153948-0006_watermarked.wav,0.005,"(8, 8)",0.42566842,0.015625,41.91060206339572,1000101001111110100000110110100000100110011100111001100100111111,1000101001111110100000110110100000100110011100101001100100111111,True,True
LibriSpeech 2/dev-clean-2/2412/153948/2412-153948-0006_watermarked.flac,watermarked_audio/2412-153948-0006_watermarked_watermarked.wav,0.005,"(8, 8)",0.42579514,0.0,63.60604384338116,0010101110001001001101010110111010001000101100011100100111100110,0010101110001001001101010110111010001000101100011100100111100110,True,True
