file,file_size_mb,duration_seconds,alpha,embed_time,extract_time,SiSNR,BER,NC,PESQ,PSNR,MSE,SSIM,TPR,FPR
"2 cholitas - Misa en Quechua en Pisac, Perú - 7 7.wav",5.046886444091797,60.0,0.01,0.08054494857788086,0.0199129581451416,25.375537872314453,0.0,1.0,4.997142533877065,41.544036865234375,7.008035754552111e-05,0.0,1.0,0.0
AlexandreDavidGabriel - amadou.wav,10.093730926513672,60.0,0.01,0.0924222469329834,0.0199429988861084,26.247246265411377,0.0,1.0,4.995245248908386,47.00217247009277,1.9942643120884895e-05,0.0,1.0,0.0
AlexandreDavidGabriel - dans mon tambour.wav,10.093730926513672,60.0,0.01,0.0809929370880127,0.021738052368164062,35.084261894226074,0.0,1.0,4.9956982858677685,52.50882625579834,5.611999768007081e-06,0.0,1.0,0.0
Analog - Brain - Roxy's Legs (Short One) feat. Courtney Odom.wav,10.986370086669922,60.0,0.01,0.08165121078491211,0.020931720733642578,36.621668338775635,0.0,1.0,4.9974958895116295,57.328009605407715,1.8501167460271972e-06,0.0,1.0,0.0
Bacalao - Télémirabelle.wav,10.093730926513672,60.0,0.01,0.08239984512329102,0.020488977432250977,26.220297813415527,0.0,1.0,4.9941847855532915,39.441819190979004,0.00011371507571311668,0.0,1.0,0.0
Bacalao - UK raver.wav,10.093730926513672,60.0,0.01,0.08113479614257812,0.021557092666625977,26.606249809265137,0.0,1.0,4.997418119357692,38.10370922088623,0.00015474940300919116,0.0,1.0,0.0
Barnacled - Revenge of Barnacled (edit).wav,10.093730926513672,60.0,0.01,0.07996201515197754,0.020930767059326172,26.610488891601562,0.0,1.0,4.997145828988279,38.92615079879761,0.00012805158621631563,0.0,1.0,0.0
Blue Dot Sessions - Rate Sheet.wav,10.093730926513672,60.0,0.01,0.08280205726623535,0.021331787109375,16.515228748321533,0.03125,0.9384605982679286,4.982740739385937,33.50213050842285,0.00044646454625763,0.0,1.0,0.05405405405405406
Chenillon - dogleika.wav,5.046886444091797,60.0,0.01,0.08312034606933594,0.02734375,21.47427797317505,0.0,1.0,4.997160290798992,35.32630681991577,0.00029333867132663727,0.0,1.0,0.0
Chenillon - rufusrufus.wav,5.046886444091797,60.0,0.01,0.09246087074279785,0.02337813377380371,57.86574363708496,0.0,1.0,4.993959819985892,76.15368366241455,2.4245530028110807e-08,0.0,1.0,0.0
Cooper-Moore - (b) My Body Is My Body.wav,10.093730926513672,60.0,0.01,0.08366894721984863,0.03335380554199219,40.28083801269531,0.0,1.0,4.991437781123998,58.67930889129639,1.355405629510642e-06,0.0,1.0,0.0
Decade in Exile - Ven Om by Decade in Exile.wav,10.093730926513672,60.0,0.01,0.08296012878417969,0.019446611404418945,30.57126522064209,0.0,1.0,4.997313909396891,43.68628978729248,4.279282075003721e-05,0.0,1.0,0.0
Ergo Phizmiz - Any Little Fish.wav,10.093730926513672,60.0,0.01,0.08234381675720215,0.02066802978515625,24.488999843597412,0.0,1.0,4.9973559271452865,39.1328501701355,0.00012209983833599836,0.0,1.0,0.0
