file	best_BER	alpha	block_size	num_bits
1272-135031-0000.flac	0.000	0.1	(8, 8)	4
1272-135031-0001.flac	0.000	0.01	(16, 16)	4
1272-135031-0002.flac	0.000	0.2	(8, 8)	4
1272-135031-0003.flac	0.125	0.01	(8, 8)	8
1272-135031-0004.flac	0.000	0.05	(32, 32)	4
1272-135031-0005.flac	0.125	0.05	(8, 8)	8
1272-135031-0006.flac	0.125	0.01	(8, 8)	8
1272-135031-0007.flac	0.000	0.01	(32, 32)	4
1272-135031-0008.flac	0.125	0.2	(16, 16)	8
1272-135031-0009.flac	0.125	0.01	(8, 8)	8
1272-135031-0010.flac	0.250	0.01	(8, 8)	8
1272-135031-0011.flac	0.125	0.05	(8, 8)	8
1272-135031-0012.flac	0.125	0.2	(8, 8)	8
1272-135031-0013.flac	0.125	0.01	(16, 16)	8
1272-135031-0014.flac	0.250	0.01	(8, 8)	4
1272-135031-0015.flac	0.000	0.01	(32, 32)	4
1272-135031-0016.flac	0.000	0.01	(16, 16)	4
1272-135031-0017.flac	0.250	0.2	(8, 8)	16
1272-135031-0018.flac	0.125	0.01	(32, 32)	8
1272-135031-0019.flac	0.000	0.1	(16, 16)	4
1272-135031-0020.flac	0.000	0.05	(8, 8)	4
1272-135031-0021.flac	0.000	0.05	(8, 8)	4
1272-135031-0022.flac	0.250	0.01	(8, 8)	4
1272-135031-0023.flac	0.000	0.01	(32, 32)	4
1272-135031-0024.flac	0.000	0.2	(16, 16)	4
1272-141231-0000.flac	0.250	0.01	(16, 16)	8
1272-141231-0001.flac	0.250	0.05	(32, 32)	4
1272-141231-0002.flac	0.000	0.01	(16, 16)	4
1272-141231-0003.flac	0.000	0.2	(32, 32)	4
1272-141231-0004.flac	0.125	0.05	(8, 8)	8
1272-141231-0005.flac	0.250	0.01	(32, 32)	4
1272-141231-0006.flac	0.000	0.01	(32, 32)	4
1272-141231-0007.flac	0.125	0.2	(8, 8)	8
1272-141231-0008.flac	0.000	0.01	(32, 32)	4
1272-141231-0009.flac	0.250	0.01	(8, 8)	8
1272-141231-0010.flac	0.000	0.01	(16, 16)	4
1272-141231-0011.flac	0.000	0.05	(16, 16)	4
1272-141231-0012.flac	0.000	0.2	(8, 8)	4
1272-141231-0013.flac	0.000	0.2	(16, 16)	4
1272-141231-0014.flac	0.000	0.01	(16, 16)	4
1272-141231-0015.flac	0.000	0.05	(16, 16)	4
1272-141231-0016.flac	0.000	0.01	(8, 8)	4
1272-141231-0017.flac	0.000	0.05	(16, 16)	4
1272-141231-0018.flac	0.125	0.05	(32, 32)	16
1272-141231-0019.flac	0.000	0.01	(32, 32)	4
1272-141231-0020.flac	0.000	0.2	(8, 8)	4
1272-141231-0021.flac	0.125	0.2	(16, 16)	8
1272-141231-0022.flac	0.125	0.01	(16, 16)	8
1272-141231-0023.flac	0.000	0.1	(16, 16)	4
1272-141231-0024.flac	0.250	0.01	(32, 32)	8
1272-141231-0025.flac	0.188	0.05	(32, 32)	16
1272-141231-0026.flac	0.000	0.05	(32, 32)	4
1272-141231-0027.flac	0.000	0.1	(32, 32)	4
1272-141231-0028.flac	0.000	0.05	(16, 16)	4
1272-141231-0029.flac	0.250	0.01	(16, 16)	4
1272-141231-0030.flac	0.000	0.01	(32, 32)	4
1272-141231-0031.flac	0.250	0.01	(8, 8)	4
1272-141231-0032.flac	0.000	0.01	(8, 8)	4
1462-170142-0000.flac	0.000	0.01	(32, 32)	4
1462-170142-0001.flac	0.000	0.01	(32, 32)	4
1462-170142-0002.flac	0.250	0.01	(16, 16)	8
1462-170142-0003.flac	0.000	0.2	(8, 8)	4
1462-170142-0004.flac	0.125	0.2	(8, 8)	8
1462-170142-0005.flac	0.188	0.1	(8, 8)	16
1462-170142-0006.flac	0.000	0.01	(8, 8)	4
1462-170142-0007.flac	0.250	0.01	(8, 8)	4
1462-170142-0008.flac	0.000	0.1	(32, 32)	4
1462-170142-0009.flac	0.250	0.01	(8, 8)	8
1462-170142-0010.flac	0.000	0.01	(16, 16)	4
1462-170142-0011.flac	0.000	0.2	(16, 16)	4
1462-170142-0012.flac	0.000	0.1	(8, 8)	4
1462-170142-0013.flac	0.125	0.01	(16, 16)	8
1462-170142-0014.flac	0.250	0.05	(8, 8)	4
1462-170142-0015.flac	0.188	0.05	(32, 32)	16
1462-170142-0016.flac	0.125	0.01	(16, 16)	8
1462-170142-0017.flac	0.250	0.01	(8, 8)	8
1462-170142-0018.flac	0.250	0.01	(8, 8)	4
1462-170142-0019.flac	0.125	0.01	(16, 16)	8
1462-170142-0020.flac	0.000	0.05	(16, 16)	4
1462-170142-0021.flac	0.250	0.05	(8, 8)	16
1462-170142-0022.flac	0.250	0.05	(8, 8)	8
1462-170142-0023.flac	0.000	0.2	(16, 16)	4
1462-170142-0024.flac	0.250	0.01	(32, 32)	4
1462-170142-0025.flac	0.250	0.01	(32, 32)	4
1462-170142-0026.flac	0.000	0.2	(8, 8)	4
1462-170142-0027.flac	0.000	0.2	(32, 32)	4
1462-170142-0028.flac	0.125	0.01	(16, 16)	8
1462-170142-0029.flac	0.188	0.1	(16, 16)	16
1462-170142-0030.flac	0.000	0.2	(32, 32)	4
1462-170142-0031.flac	0.000	0.05	(32, 32)	4
1462-170142-0032.flac	0.250	0.01	(16, 16)	8
1462-170142-0033.flac	0.000	0.2	(8, 8)	4
1462-170142-0034.flac	0.250	0.01	(16, 16)	4
1462-170142-0035.flac	0.125	0.05	(16, 16)	8
1462-170142-0036.flac	0.000	0.1	(8, 8)	4
1462-170142-0037.flac	0.250	0.01	(32, 32)	4
1462-170142-0038.flac	0.000	0.1	(16, 16)	4
1462-170142-0039.flac	0.000	0.05	(8, 8)	4
1462-170142-0040.flac	0.125	0.1	(32, 32)	8
1462-170142-0041.flac	0.000	0.01	(16, 16)	4
1462-170142-0042.flac	0.250	0.05	(8, 8)	4
1462-170145-0000.flac	0.000	0.05	(32, 32)	4
1462-170145-0001.flac	0.000	0.05	(32, 32)	4
1462-170145-0002.flac	0.250	0.05	(8, 8)	4
1462-170145-0003.flac	0.250	0.2	(8, 8)	4
1462-170145-0004.flac	0.000	0.01	(8, 8)	4
1462-170145-0005.flac	0.000	0.01	(8, 8)	4
1462-170145-0006.flac	0.000	0.2	(16, 16)	4
1462-170145-0007.flac	0.250	0.01	(8, 8)	8
1462-170145-0008.flac	0.125	0.1	(16, 16)	8
1462-170145-0009.flac	0.000	0.1	(32, 32)	4
1462-170145-0010.flac	0.125	0.05	(8, 8)	8
1462-170145-0011.flac	0.250	0.01	(16, 16)	4
1462-170145-0012.flac	0.250	0.1	(8, 8)	4
1462-170145-0013.flac	0.000	0.2	(32, 32)	4
1462-170145-0014.flac	0.250	0.01	(16, 16)	4
1462-170145-0015.flac	0.250	0.01	(16, 16)	4
1462-170145-0016.flac	0.125	0.2	(8, 8)	8
1462-170145-0017.flac	0.188	0.05	(32, 32)	16
1462-170145-0018.flac	0.000	0.05	(8, 8)	4
1462-170145-0019.flac	0.000	0.1	(32, 32)	4
1462-170145-0020.flac	0.000	0.01	(16, 16)	4
1462-170145-0021.flac	0.000	0.05	(16, 16)	4
1462-170145-0022.flac	0.000	0.01	(8, 8)	4
174-168635-0000.flac	0.125	0.01	(16, 16)	8
174-168635-0001.flac	0.000	0.2	(32, 32)	4
174-168635-0002.flac	0.250	0.01	(16, 16)	4
174-168635-0003.flac	0.188	0.05	(8, 8)	16
174-168635-0004.flac	0.250	0.01	(8, 8)	8
174-168635-0005.flac	0.000	0.1	(32, 32)	4
174-168635-0006.flac	0.000	0.05	(32, 32)	4
174-168635-0007.flac	0.000	0.01	(16, 16)	4
174-168635-0008.flac	0.000	0.2	(16, 16)	4
174-168635-0009.flac	0.000	0.01	(32, 32)	4
174-168635-0010.flac	0.000	0.1	(32, 32)	8
174-168635-0011.flac	0.000	0.01	(32, 32)	4
174-168635-0012.flac	0.000	0.05	(32, 32)	4
174-168635-0013.flac	0.000	0.05	(16, 16)	4
174-168635-0014.flac	0.000	0.2	(8, 8)	4
174-168635-0015.flac	0.000	0.01	(8, 8)	4
174-168635-0016.flac	0.125	0.01	(32, 32)	8
174-168635-0017.flac	0.000	0.2	(32, 32)	4
174-168635-0018.flac	0.000	0.05	(32, 32)	4
174-168635-0019.flac	0.250	0.05	(16, 16)	4
174-168635-0020.flac	0.000	0.01	(8, 8)	4
174-168635-0021.flac	0.000	0.05	(8, 8)	4
174-168635-0022.flac	0.000	0.01	(16, 16)	4
1988-147956-0000.flac	0.000	0.05	(8, 8)	4
1988-147956-0001.flac	0.000	0.05	(16, 16)	4
1988-147956-0002.flac	0.000	0.01	(8, 8)	4
1988-147956-0003.flac	0.000	0.01	(16, 16)	4
1988-147956-0004.flac	0.000	0.01	(8, 8)	4
1988-147956-0005.flac	0.250	0.01	(16, 16)	4
1988-147956-0006.flac	0.000	0.2	(16, 16)	4
1988-147956-0007.flac	0.000	0.01	(16, 16)	4
1988-147956-0008.flac	0.250	0.01	(32, 32)	4
1988-147956-0009.flac	0.188	0.2	(8, 8)	16
1988-147956-0010.flac	0.000	0.05	(16, 16)	4
1988-147956-0011.flac	0.000	0.1	(8, 8)	4
1988-147956-0012.flac	0.250	0.01	(16, 16)	16
1988-147956-0013.flac	0.125	0.1	(32, 32)	8
1988-147956-0014.flac	0.250	0.01	(8, 8)	4
1988-147956-0015.flac	0.125	0.01	(16, 16)	8
1988-147956-0016.flac	0.000	0.2	(8, 8)	4
1988-147956-0017.flac	0.000	0.05	(16, 16)	4
1988-147956-0018.flac	0.250	0.01	(16, 16)	4
1988-147956-0019.flac	0.188	0.01	(8, 8)	16
1988-147956-0020.flac	0.000	0.01	(8, 8)	4
1988-147956-0021.flac	0.000	0.1	(8, 8)	4
1988-147956-0022.flac	0.000	0.01	(8, 8)	4
1988-147956-0023.flac	0.000	0.1	(16, 16)	4
1988-147956-0024.flac	0.000	0.1	(16, 16)	4
1988-147956-0025.flac	0.000	0.05	(16, 16)	4
1988-147956-0026.flac	0.000	0.05	(16, 16)	4
1988-147956-0027.flac	0.250	0.01	(16, 16)	4
1988-147956-0028.flac	0.000	0.01	(32, 32)	4
1988-147956-0029.flac	0.000	0.2	(8, 8)	4
1988-24833-0000.flac	0.000	0.05	(32, 32)	4
1988-24833-0001.flac	0.000	0.01	(8, 8)	4
1988-24833-0002.flac	0.250	0.01	(8, 8)	4
1988-24833-0003.flac	0.250	0.01	(8, 8)	4
1988-24833-0004.flac	0.000	0.2	(8, 8)	4
1988-24833-0005.flac	0.000	0.05	(8, 8)	4
1988-24833-0006.flac	0.000	0.01	(8, 8)	4
1988-24833-0007.flac	0.250	0.05	(8, 8)	8
1988-24833-0008.flac	0.000	0.05	(32, 32)	4
1988-24833-0009.flac	0.250	0.01	(8, 8)	8
1988-24833-0010.flac	0.000	0.2	(32, 32)	8
1988-24833-0011.flac	0.000	0.01	(8, 8)	4
1988-24833-0012.flac	0.000	0.05	(32, 32)	4
1988-24833-0013.flac	0.125	0.1	(16, 16)	8
1988-24833-0014.flac	0.000	0.01	(16, 16)	4
1988-24833-0015.flac	0.000	0.05	(8, 8)	4
1988-24833-0016.flac	0.000	0.1	(8, 8)	4
1988-24833-0017.flac	0.000	0.1	(8, 8)	4
1988-24833-0018.flac	0.000	0.2	(8, 8)	4
1988-24833-0019.flac	0.000	0.05	(8, 8)	4
1988-24833-0020.flac	0.000	0.01	(8, 8)	4
1988-24833-0021.flac	0.125	0.2	(16, 16)	8
1988-24833-0022.flac	0.000	0.1	(8, 8)	4
1988-24833-0023.flac	0.000	0.05	(8, 8)	4
1988-24833-0024.flac	0.000	0.01	(16, 16)	4
1988-24833-0025.flac	0.000	0.01	(8, 8)	4
1988-24833-0026.flac	0.000	0.01	(16, 16)	4
1988-24833-0027.flac	0.000	0.1	(8, 8)	4
1988-24833-0028.flac	0.125	0.05	(8, 8)	8
1993-147964-0000.flac	0.000	0.01	(8, 8)	4
1993-147964-0001.flac	0.125	0.1	(32, 32)	8
1993-147964-0002.flac	0.000	0.1	(32, 32)	8
1993-147964-0003.flac	0.000	0.01	(16, 16)	4
1993-147964-0004.flac	0.000	0.01	(32, 32)	4
1993-147964-0005.flac	0.000	0.1	(32, 32)	4
1993-147964-0006.flac	0.000	0.01	(16, 16)	4
1993-147964-0007.flac	0.000	0.01	(8, 8)	4
1993-147964-0008.flac	0.125	0.05	(8, 8)	8
1993-147964-0009.flac	0.125	0.2	(16, 16)	8
1993-147964-0010.flac	0.000	0.01	(8, 8)	4
2035-147960-0000.flac	0.000	0.1	(32, 32)	4
2035-147960-0001.flac	0.125	0.01	(8, 8)	8
2035-147960-0002.flac	0.000	0.05	(8, 8)	4
2035-147960-0003.flac	0.125	0.1	(8, 8)	8
2035-147960-0004.flac	0.250	0.01	(8, 8)	4
2035-147960-0005.flac	0.000	0.1	(8, 8)	4
2035-147960-0006.flac	0.000	0.05	(32, 32)	4
2035-147960-0007.flac	0.250	0.01	(8, 8)	4
2035-147960-0008.flac	0.000	0.01	(32, 32)	4
2035-147960-0009.flac	0.000	0.05	(16, 16)	4
2035-147960-0010.flac	0.000	0.01	(16, 16)	4
2035-147960-0011.flac	0.000	0.01	(32, 32)	4
2035-147960-0012.flac	0.250	0.01	(8, 8)	8
2035-147960-0013.flac	0.125	0.1	(16, 16)	8
2035-147960-0014.flac	0.125	0.01	(32, 32)	8
2035-147960-0015.flac	0.250	0.01	(8, 8)	4
2035-147960-0016.flac	0.000	0.2	(16, 16)	4
2035-147961-0000.flac	0.000	0.05	(8, 8)	4
2035-147961-0001.flac	0.125	0.01	(8, 8)	8
2035-147961-0002.flac	0.000	0.01	(32, 32)	4
2035-147961-0003.flac	0.250	0.01	(8, 8)	4
2035-147961-0004.flac	0.000	0.05	(16, 16)	4
2035-147961-0005.flac	0.000	0.01	(8, 8)	4
2035-147961-0006.flac	0.250	0.01	(8, 8)	8
2035-147961-0007.flac	0.250	0.01	(32, 32)	4
2035-147961-0008.flac	0.000	0.1	(8, 8)	4
2035-147961-0009.flac	0.000	0.2	(16, 16)	4
2035-147961-0010.flac	0.250	0.01	(8, 8)	8
2035-147961-0011.flac	0.000	0.2	(16, 16)	4
2035-147961-0012.flac	0.250	0.05	(16, 16)	8
2035-147961-0013.flac	0.250	0.05	(8, 8)	4
2035-147961-0014.flac	0.000	0.1	(16, 16)	4
